Kata Dasar,Jenis Kata,Artinya,Contoh  Kalimat,Arti kalimat
Yaku,subjek,saya,yaku kan susum ,saya makan ikan
nanggu,kata keterangan,saya punya,nang potil,saya punya kelapa
taus,kata kerja,pergi,yaku taus balimang,saya pergi bekerja
aliling,kata kerja,balik,napa sosoisik yaku aliling,sebentar lagi saya akan kembali
tabe,kata keterangan,permisi,tabee ba lumpai,permisi melangkahi
sedih,kata sifat,malio lio,bula doyya yana malio lio?,apakah dia bersedih?
lalo,kata keterangan,suara,babakal komu lalo,besar suaramu
bituon,kata benda,bulan,bituon do mondok e,bulan itu bagus
olon,kata benda,jalan,asek lolonia e,bagus jalan ini
tobuy/tobun,kata benda,laut,dolom tobuy do,laut itusangat dalam
bungko,kata benda,gunung,napa ko taus doi bungko uno,sebentar kamu pergi ke gunung
bapelele,kata kerja,menjajakan,manpalele oila ko?,menjual apa kamu
dampas,kata kerja,lari,bulandokon ko kai ko dampas e,kenapa kamu lari
ampakon,kata kerja,jalan kaki,ampakon popoinyiak,hati hati di jalan
osoan,kata kerja,menikah,ko osoano dia?,kamu menikah dimana
bonua,kata benda,rumah,diyya komu bonua?,dimana rumahmu
asu,kata benda,anjing,,
babuy,kata benda,babi,,
bande,kata benda,monyet,,
boboinye,kata benda,perempuan,nde kom pau boboiye sambuno?,siapa anak perempuanmu?
mamalane,kata benda,laki laki,,
boloki,kata benda,istri,,
langkai,kata benda,suami,,
utus,kata keterangan,saudara,,
bakku,kata benda,ubi,,
loka,kata benda,pisang,nang kinan ko loka,saya makan pisang 
meeng,kata keterangan,satu,,
lua,kata keterangan,dua,,
tolu,kata keterangan,tiga,,
sangkap,kata keterangan,empat,,
lina,kata keterangan,lima,,
noom,kata keterangan,enam,,
pitu,kata keterangan,tujuh,,
pitu lobian,kata keterangan,delapan,,
sio,kata keterangan,sembilan ,,
songgulo,kata keterangan,sepuluh,,
nggoola,kata keterangan,bisa,,
moola,kata keterangan,boleh,,
maa,kata keterangan,karena,,
tobikon,kata keterangan,sebab,,
yode/ode,kata keterangan,iye,,
aki,kata keterangan,tidak,,
kokil,kata sifat,menangis,,
kokumbit,kata sifat,ketawa,,
tarais,kata kerja,teriak,,
sasa,kata benda,kucing,,
manuk,kata benda,ayam,,
mbolosukon,kata benda,durian,,
onsulang,kata kerja,duduk,,
pasalak,kata benda,sapu,,
mompul,kata kerja,memasak,,
nggalau,kata benda,telur,,
posiuk,kata benda,sendok,,
pinggan,kata benda,piring,,
balanga,kata benda,wajan,,
tobunan,kata benda,panci,,
bangkapi,kata benda,manusia,,
mian,kata benda,orang,,
temeneno,,tuhan/Allah,,
setan,kata benda,siing,,
noanggu,kata keterangan,perasaan,,
kanggio,kata kerja,pegang,,
ko,subjek,kamu,,
masadai,kata kerja,bertanya,,
maa'bi ma'si,kata keterangan,minta maaf,,
tomundo,kata benda,raja/penguasa,,
mbumbu,kata benda,nenek moyang,,
kapiten,kata benda,kapten,,
tina,kata benda,ibu,,
tama,kata benda,ayah,,
tawwa,kata benda,kakek,,
tammbu,kata benda,nenek,,
pau,kata benda,anak,,
tumbu,kata benda,cucu,,
tokon,kata benda,cece,,
laalambit,kata benda,cicit,,
sinoobi,kata benda,ipar,,
daok,kata benda,mertua,,
monianan,kata benda,menantu,,
memela,kata keterangan,merah,,
mosoni,kata keterangan,kuning,,
ijo,kata keterangan,hijau,,
mompok,kata keterangan,hitam,,
moute,kata keterangan,putih,,
tinataun,kata keterangan,terima kasih,,
bena,kata kerja,memberi,,
balibai,kata kerja,memanjat,,
babusoi,kata kerja,mencuci ,,
bokukum,kata benda,baju,,
salual,kata benda,celana,,
monas,kata keterangan,panas,,
memel,kata keterangan,dingin,,
lokis,kata keterangan,jahat,,
monodok,kata keterangan,baik,,
duangan,kata benda,perahu,,
popitoi,,baku liat,,
pit,kata keterangan,buta,,
ateno,kata keterangan,jantungan,,
limano,kata benda,tangan,,
begeno,kata benda,bahu,,
kombongo,kata benda,perut,,
tuulo,kata benda,lutut,,
aiino,kata benda,kaki,,
oloyo,kata keterangan,hari,,
modoa,kata keterangan,besok,,
mele,kata keterangan,asam,,
mosopot,kata keterangan,pahit,,
mamis,kata keterangan,manis,,
bulandokon,kata keterangan,kenapa,,
jangan,kata keterangan,nyai,,
ompoliyo,kata kerja,cari,,
pakuli,kata benda,obat,,
mansai,kata keterangan,kumpul keluarga,,
mondongoli,kata keterangan,mendengar,,
subot,,muncul,,
lubato,,datang,,
lipu,,kampung,,
mansakai,,menanam,,
labotan,,pasar,,
sumai,,kamari,,
loluk,,dulu,,
potil,,kelapa,,
oluno,,kepala,,
tolingaino,,telingan,,
ndemel,,makanan,,
papanas,,lauk,,
molou,,haus,,
malal,,lapar,,
tetean,,jembatan,,
tambongan,,cantik/ganteng,,
tolubang,,tumbang,,
tompolos,,terperosok,,
togong,,pulau,,
tomang,,tidak waras,,
toik,,sarung,,
tongas,,melamun,,
tobok,,tikam,,
tolibo,,mendaki,,
tokolu,,menurun,,
tokoli,,kuah asam,,
tombing,,miring,,
totili,,menunggu,,
tombila,,pelepah sagu,,
tokita,,kelihatan,,
tompide,,tulang,,
tongkulung,,belangan,,
tabaak,,longsor,,
temee,,BAB,,
tempaisu,,BAK,,
tekelebus,,tumpah habis,,
timuson,,garam,,
tigo,,tembakau/rokok,,
tilon,,kapur sirih,,
manas,,rusak,,
mansau,,mandi,,
mambut,,sangar,,
buuk,,rambut,,
songa,,hidung,,
tuong,,jatuh,,
tano,,tanah,,
biaak/soa-soa/bindoak,,biawak,,
bibiyan/ba sedu,,gurau/kelakar,,
bilat,,nyala,,
pobilat,,api,,
bilit,,bawah/pantat,,
bingkat,,angkat/pinjaman,,
bingkate,,angkatlah,,
biningkat,,diangkat,,
mobingkat,,mengangkat,,
tobingkat,,terangkat,,
bitu,,kubur,,
bituon pauno,,bintang,,
bisso/bisoso/bisono,,anai-anai,,
bobosul,,kenyang,,
booan,,bau,,
boono,,baunya,,
boboan,,dangkal,,
bukaka,,kupu-kupu (lih. kalitaatak),,
bokiki/bokki,,kadas/kurap,,
bulung,,rumput,,
bulungo,,leher,,
botokono/limano,,tangan/lengan,,
botokon,,suruh/perintah,,
bebelak/bebelai,,lebar/luas/ ikan pari,,
buang,,lubang,,
balik,,luntur/berubah,,
bantala/pondokung/poloon,,malas,,
babaabu,,mempelai,,
balongka/ontimun,,timun,,
bokol/bokolon,,ombak/gelombang,,
bokilan,,jenis burung,,
bana,,paha,,
banang,,benang,,
bolowa,,panu,,
bulusan,,panjang,,
bone,,pasir,,
bubung,,sumur,,
biol,,pindah,,
biniol,,dipindahkan,,
